_unit_id,_created_at,_id,_started_at,_tainted,_channel,_trust,_country,_region,_city,what_is_the_rationale_for_your_choice,what_is_the_relevance_of_the_property_given_above_for_determining_whether_a_mushroom_is_edible_or_poisonous,friendly,id,orig,values,what_is_the_relevance_of_the_property_given_above_for_determining_whether_a_mushroom_is_edible_or_poisonous_gold
888966641,2/22/2016 17:41:33,1901799491,2/22/2016 17:37:58,False,elite,1.0,USA,NY,Rochester,,9,cap shape,1,cap-shape,"<i>bell</i>,<i>conical</i>,<i>convex</i>,<i>flat</i>,<i>knobbed</i>,<i>sunken</i>",
888966641,2/22/2016 17:53:18,1901812643,2/22/2016 17:50:22,False,clixsense,1.0,GBR,A1,Barking,There is nothing to determine whether the cap shape has any link to poison.,1,cap shape,1,cap-shape,"<i>bell</i>,<i>conical</i>,<i>convex</i>,<i>flat</i>,<i>knobbed</i>,<i>sunken</i>",
888966641,2/22/2016 18:08:49,1901831782,2/22/2016 17:50:39,False,prodege,1.0,CAN,AB,Saint Albert,Mushrooms with caps that are wide and look like an umbrella are poisonous and should be avoided.,10,cap shape,1,cap-shape,"<i>bell</i>,<i>conical</i>,<i>convex</i>,<i>flat</i>,<i>knobbed</i>,<i>sunken</i>",
888966641,2/22/2016 19:07:23,1901913620,2/22/2016 19:06:01,False,instagc,1.0,GBR,L2,Rochdale,They can be a very obvious difference that could identify the species,10,cap shape,1,cap-shape,"<i>bell</i>,<i>conical</i>,<i>convex</i>,<i>flat</i>,<i>knobbed</i>,<i>sunken</i>",
888966641,2/22/2016 20:09:13,1901995870,2/22/2016 20:05:39,False,instagc,1.0,USA,IL,Vernon Hills,"As this is an objective identifying feature that helps distinguish between different types of mushrooms, it is very relevant.",10,cap shape,1,cap-shape,"<i>bell</i>,<i>conical</i>,<i>convex</i>,<i>flat</i>,<i>knobbed</i>,<i>sunken</i>",
888966642,2/22/2016 17:28:28,1901787903,2/22/2016 17:27:55,False,zoombucks,1.0,CAN,ON,Markham,,6,presence of  bruises,2,bruises?,<i>yes</i> or <i>no</i>,
888966642,2/22/2016 17:34:21,1901792897,2/22/2016 17:28:09,False,neodev,1.0,CAN,ON,Toronto,it is likely relevant,9,presence of  bruises,2,bruises?,<i>yes</i> or <i>no</i>,
888966642,2/22/2016 17:35:07,1901793539,2/22/2016 17:22:32,False,neodev,1.0,GBR,M3,Bridgwater,Can't determine a mushroom is edible or poisonous.,1,presence of  bruises,2,bruises?,<i>yes</i> or <i>no</i>,
888966642,2/22/2016 17:42:39,1901800651,2/22/2016 17:26:38,False,elite,1.0,USA,NY,Rochester,,9,presence of  bruises,2,bruises?,<i>yes</i> or <i>no</i>,
888966642,2/22/2016 18:28:22,1901857521,2/22/2016 18:23:26,False,neodev,1.0,CAN,BC,Burnaby,"If it has bruises it's 'yes', and if it doesn't it's 'no'",5,presence of  bruises,2,bruises?,<i>yes</i> or <i>no</i>,
888966643,2/22/2016 17:35:18,1901793765,2/22/2016 17:34:22,False,neodev,1.0,CAN,ON,Toronto,it is very likely relevant,9,odour,3,odor,"<i>almond</i>,<i>anise</i>,<i>creosote</i>,<i>fishy</i>,<i>foul</i>,<i>musty</i>,<i>does not have odour</i>,<i>pungent</i>,<i>spicy</i>",
888966643,2/22/2016 17:36:57,1901795283,2/22/2016 17:34:49,False,clixsense,1.0,CAN,QC,Montréal,Smell is important in defining the quality,7,odour,3,odor,"<i>almond</i>,<i>anise</i>,<i>creosote</i>,<i>fishy</i>,<i>foul</i>,<i>musty</i>,<i>does not have odour</i>,<i>pungent</i>,<i>spicy</i>",
888966643,2/22/2016 17:37:56,1901796116,2/22/2016 17:32:52,False,elite,1.0,USA,NY,Rochester,,10,odour,3,odor,"<i>almond</i>,<i>anise</i>,<i>creosote</i>,<i>fishy</i>,<i>foul</i>,<i>musty</i>,<i>does not have odour</i>,<i>pungent</i>,<i>spicy</i>",
888966643,2/22/2016 17:41:57,1901799881,2/22/2016 17:35:08,False,neodev,1.0,GBR,M3,Bridgwater,Somewhat can determine a mushroom is edible or poisonous.,8,odour,3,odor,"<i>almond</i>,<i>anise</i>,<i>creosote</i>,<i>fishy</i>,<i>foul</i>,<i>musty</i>,<i>does not have odour</i>,<i>pungent</i>,<i>spicy</i>",
888966643,2/22/2016 17:43:45,1901801869,2/22/2016 17:42:42,False,elite,1.0,USA,NY,Rochester,,10,odour,3,odor,"<i>almond</i>,<i>anise</i>,<i>creosote</i>,<i>fishy</i>,<i>foul</i>,<i>musty</i>,<i>does not have odour</i>,<i>pungent</i>,<i>spicy</i>",
888966644,2/22/2016 17:41:33,1901799486,2/22/2016 17:37:58,False,elite,1.0,USA,NY,Rochester,,8,gill spacing,4,gill-spacing,"<i>close</i>,<i>crowded</i>,<i>distant</i>",
888966644,2/22/2016 17:53:18,1901812635,2/22/2016 17:50:22,False,clixsense,1.0,GBR,A1,Barking,There is no link between gill spacing and poison.,1,gill spacing,4,gill-spacing,"<i>close</i>,<i>crowded</i>,<i>distant</i>",
888966644,2/22/2016 18:08:49,1901831784,2/22/2016 17:50:39,False,prodege,1.0,CAN,AB,Saint Albert,I don't know whether gill spacing is a determinant for whether a mushroom is poisonous or not but mushrooms whose gills lactate should be avoided.,5,gill spacing,4,gill-spacing,"<i>close</i>,<i>crowded</i>,<i>distant</i>",
888966644,2/22/2016 19:07:23,1901913618,2/22/2016 19:06:01,False,instagc,1.0,GBR,L2,Rochdale,The spacing between grills can be subjective between people so it could be hard to be certain,5,gill spacing,4,gill-spacing,"<i>close</i>,<i>crowded</i>,<i>distant</i>",
888966644,2/22/2016 20:09:13,1901995858,2/22/2016 20:05:39,False,instagc,1.0,USA,IL,Vernon Hills,"This is a slightly more subjective characterization but can still be used to differentiate edible from poisonous as they may be different species/maturity, etc - therefore, this is still relevant.",6,gill spacing,4,gill-spacing,"<i>close</i>,<i>crowded</i>,<i>distant</i>",
888966645,2/22/2016 17:41:33,1901799487,2/22/2016 17:37:58,False,elite,1.0,USA,NY,Rochester,,9,gill colour,5,gill-color,"<i>black</i>,<i>brown</i>,<i>buff</i>,<i>chocolate</i>,<i>gray</i>,<i>green</i>,<i>orange</i>,<i>pink</i>,<i>purple</i>,<i>red</i>,<i>white</i>,<i>yellow</i><i>black</i>,<i>brown</i>,<i>buff</i>,<i>chocolate</i>,<i>gray</i>,<i>green</i>,<i>orange</i>,<i>pink</i>,<i>purple</i>,<i>red</i>,<i>white</i>,<i>yellow</i>",
888966645,2/22/2016 17:53:18,1901812631,2/22/2016 17:50:22,False,clixsense,1.0,GBR,A1,Barking,There is no link between gill colour and poison.,1,gill colour,5,gill-color,"<i>black</i>,<i>brown</i>,<i>buff</i>,<i>chocolate</i>,<i>gray</i>,<i>green</i>,<i>orange</i>,<i>pink</i>,<i>purple</i>,<i>red</i>,<i>white</i>,<i>yellow</i><i>black</i>,<i>brown</i>,<i>buff</i>,<i>chocolate</i>,<i>gray</i>,<i>green</i>,<i>orange</i>,<i>pink</i>,<i>purple</i>,<i>red</i>,<i>white</i>,<i>yellow</i>",
888966645,2/22/2016 18:08:49,1901831787,2/22/2016 17:50:39,False,prodege,1.0,CAN,AB,Saint Albert,Mushrooms with white gills should be avoided.,9,gill colour,5,gill-color,"<i>black</i>,<i>brown</i>,<i>buff</i>,<i>chocolate</i>,<i>gray</i>,<i>green</i>,<i>orange</i>,<i>pink</i>,<i>purple</i>,<i>red</i>,<i>white</i>,<i>yellow</i><i>black</i>,<i>brown</i>,<i>buff</i>,<i>chocolate</i>,<i>gray</i>,<i>green</i>,<i>orange</i>,<i>pink</i>,<i>purple</i>,<i>red</i>,<i>white</i>,<i>yellow</i>",
888966645,2/22/2016 19:07:23,1901913615,2/22/2016 19:06:01,False,instagc,1.0,GBR,L2,Rochdale,The colour can be an obvious way to tell between species,8,gill colour,5,gill-color,"<i>black</i>,<i>brown</i>,<i>buff</i>,<i>chocolate</i>,<i>gray</i>,<i>green</i>,<i>orange</i>,<i>pink</i>,<i>purple</i>,<i>red</i>,<i>white</i>,<i>yellow</i><i>black</i>,<i>brown</i>,<i>buff</i>,<i>chocolate</i>,<i>gray</i>,<i>green</i>,<i>orange</i>,<i>pink</i>,<i>purple</i>,<i>red</i>,<i>white</i>,<i>yellow</i>",
888966645,2/22/2016 20:09:13,1901995861,2/22/2016 20:05:39,False,instagc,1.0,USA,IL,Vernon Hills,"Seeing as this is another identifying feature that can help discern between poisonous and edible, this is very relevant.",10,gill colour,5,gill-color,"<i>black</i>,<i>brown</i>,<i>buff</i>,<i>chocolate</i>,<i>gray</i>,<i>green</i>,<i>orange</i>,<i>pink</i>,<i>purple</i>,<i>red</i>,<i>white</i>,<i>yellow</i><i>black</i>,<i>brown</i>,<i>buff</i>,<i>chocolate</i>,<i>gray</i>,<i>green</i>,<i>orange</i>,<i>pink</i>,<i>purple</i>,<i>red</i>,<i>white</i>,<i>yellow</i>",
888966646,2/22/2016 17:35:18,1901793766,2/22/2016 17:34:22,False,neodev,1.0,CAN,ON,Toronto,it is not  likely relevant,3,gill size,6,gill-size,"<i>broad</i>,<i>narrow</i>",
